Date,Holiday Name,Information,Applicable To
1/1/2014,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NAT
27/1/2014,Australia Day,Always celebrated on 26 January,NAT
3/3/2014,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",WA
10/3/2014,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,SA
10/3/2014,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.",ACT
10/3/2014,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",TAS
10/3/2014,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",VIC
18/4/2014,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NAT
19/4/2014,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NAT
20/4/2014,Easter Sunday,Public Holiday as part of Easter.,NSW|VIC
21/4/2014,Easter Monday,Public Holiday as part of Easter.,NAT
22/4/2014,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,TAS
25/4/2014,Anzac Day,Celebrated on the 25 April each year.,NAT
5/5/2014,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NT
2/6/2014,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,WA
9/6/2014,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,ACT|SA|TAS|VIC|NSW|QLD|NT
4/8/2014,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",NT
29/9/2014,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,WA
29/9/2014,Family & Community Day,A holiday for people to spend with their family and friends.,ACT
6/10/2014,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",ACT|NSW|QLD|SA
4/11/2014,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council.,VIC
24/12/2014,Christmas Eve,Part-day public holiday from 7pm-12 midnight,SA
25/12/2014,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NAT
26/12/2014,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NAT
26/12/2014,Proclamation Day,Occurs the day after Christmas Day.,SA
31/12/2014,New Year's Eve,Part-day public holiday from 7pm-12 midnight,SA
1/1/2015,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NAT
26/1/2015,Australia Day,Always celebrated on 26 January,NAT
2/3/2015,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",WA
9/3/2015,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,SA
9/3/2015,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.",ACT
9/3/2015,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",TAS
9/3/2015,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",VIC
3/4/2015,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NAT
4/4/2015,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NAT
5/4/2015,Easter Sunday,Public Holiday as part of Easter.,NSW|VIC
6/4/2015,Easter Monday,Public Holiday as part of Easter.,NAT
7/4/2015,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,TAS
25/4/2015,Anzac Day,Celebrated on the 25 April each year.,NAT
